id,course,day,word,pos,answer,ipa,example,audio
1,foundation,1,Draw,v,vẽ,/drɔː/,He draws a circle in the sand with a stick.,
2,foundation,1,Compare,v,so sánh,/kəmˈpeə(r)/,We compared the two reports carefully.,
3,foundation,1,Consume,v,tiêu thụ,/kənˈsjuːm/,We consume a lot of water every day.,
4,foundation,1,Market,n,"chợ, thị trường",/ˈmɑːkɪt/,We buy our fruit and vegetables at the market.,
5,foundation,1,Imply,v,ngụ ý,/ɪmˈplaɪ/,His silence seemed to imply agreement.,
6,foundation,1,Promise,v,hứa,/ˈprɒmɪs/,You promised that you’d be home early tonight.,
7,foundation,1,Protect,v,bảo vệ,/prəˈtekt/,Our aim is to protect the jobs of our members.,
8,foundation,1,Require,v,"đòi hỏi, yêu cầu",/rɪˈkwaɪə(r)/,The situation required that he be present.,
9,foundation,1,Risk,n,"sự rủi ro, sự nguy hiểm",/rɪsk/,Smoking can increase the risk of developing heart disease.,
10,foundation,1,Hold,v,"cầm, nắm",/həʊld/,She is holding a large box.,
11,foundation,1,Access,n,lối vào,/ˈækses/,The police gained access through a broken window.,
12,foundation,1,Display,v,"bày ra, trưng bày",/dɪˈspleɪ/,The exhibition gives local artists an opportunity to display their work.,
13,foundation,2,Warning,n,cảnh báo,/ˈwɔːrnɪŋ/,His sad death is a warning to everyone.,
14,foundation,2,Afford,v,đủ khả năng,/əˈfɔːrd/,We can't afford to go abroad this summer.,
15,foundation,2,Stock,n,hàng hóa dự trữ,/stɑːk/,We have a fast turnover of stock.,
16,foundation,2,Code,n,mã,/koʊd/,I need a code to open the door.,
17,foundation,2,Outdated,adj,lỗi thời,/aʊtˈdeɪtɪd/,These figures are now outdated.,
18,foundation,2,Practice,n,thực hành,/ˈpræktɪs/,It takes a lot of practice to play the violin well.,
19,foundation,2,Network,n,mạng lưới,/ˈnetwɜːrk/,"The office network allows users to share files and software, and to use a central printer.",
20,foundation,2,Process,n,quá trình,/ˈprɑːses/,We're in the process of selling our house.,
